default ,0    ,0.1   ,0.2   ,0.3   ,0.4   ,0.5   ,0.6   ,0.7   ,0.8   ,0.9   ,1     ,1.1   ,1.2   ,1.3
    0   ,0    ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02 ,-0.02
    0.1 ,0.02 ,0.02  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,-0.02 ,-0.02
    0.2 ,0.02 ,0.02  ,0.02  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,-0.02 ,-0.02
    0.3 ,0.02 ,0.02  ,0.02  ,0.02  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,-0.02 ,-0.02
    0.4 ,0.03 ,0.02  ,0.02  ,0.02  ,0.02  ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,-0.02 ,-0.02
    0.5 ,0.03 ,0.03  ,0.02  ,0.02  ,0.02  ,0.02  ,0     ,0     ,0     ,0     ,0     ,0     ,-0.02 ,-0.02
    0.6 ,0.05 ,0.03  ,0.03  ,0.02  ,0.02  ,0.02  ,0.02  ,0     ,0     ,0     ,0     ,0     ,-0.02 ,-0.02
    0.7 ,0.05 ,0.05  ,0.03  ,0.02  ,0.02  ,0.02  ,0.02  ,0.02  ,0     ,0     ,0     ,0     ,-0.02 ,-0.02
    0.8 ,0.05 ,0.05  ,0.05  ,0.03  ,0.02  ,0.02  ,0.02  ,0.02  ,0.02  ,0     ,0     ,0     ,-0.02 ,-0.02
    0.9 ,0.05 ,0.05  ,0.05  ,0.05  ,0.03  ,0.02  ,0.02  ,0.02  ,0.02  ,0.02  ,0     ,0     ,-0.02 ,-0.02
    1   ,0.05 ,0.05  ,0.05  ,0.05  ,0.05  ,0.03  ,0.02  ,0.02  ,0.02  ,0.02  ,0.02  ,0     ,-0.02 ,-0.02
